"Player","Team","Position","ETR Pos Rank","ETR Rank","NFFC ADP","NFFC POS ADP","ADP Differential",
"Evan Engram","JAX","TE","TE9","94","97.4","TE8","3.4",
"Deshaun Watson","CLE","QB","QB9","95","95.1","QB9","0.1",
"Jakobi Meyers","LV","WR","WR48","96","118.6","WR54","22.6",
"Michael Thomas","NO","WR","WR49","97","92.9","WR45","-4.1",
"James Conner","ARI","RB","RB31","98","81.6","RB29","-16.4",
"Kadarius Toney","KC","WR","WR50","99","95.8","WR47","-3.2",
"Tua Tagovailoa","MIA","QB","QB10","100","102.3","QB10","2.3",
"Antonio Gibson","WAS","RB","RB32","101","95.1","RB33","-5.9",
"Tyler Boyd","CIN","WR","WR51","102","135.4","WR60","33.4",
"Rashod Bateman","BAL","WR","WR52","103","105.7","WR49","2.7",
"A.J. Dillon","GB","RB","RB33","104","101.4","RB35","-2.6",
"Zay Jones","JAX","WR","WR53","105","131.7","WR59","26.7",
"Kirk Cousins","MIN","QB","QB11","106","123.3","QB12","17.3",
"Samaje Perine","DEN","RB","RB34","107","107.6","RB38","0.6",
"Khalil Herbert","CHI","RB","RB35","108","91.4","RB32","-16.6",
"Brian Robinson","WAS","RB","RB36","109","98.6","RB34","-10.4",
"Zach Charbonnet","SEA","RB","RB37","110","103.3","RB37","-6.7",
"Nico Collins","HOU","WR","WR54","111","112.1","WR52","1.1",
"Allen Lazard","NYJ","WR","WR55","112","126.3","WR57","14.3",
"David Njoku","CLE","TE","TE10","113","115.6","TE10","2.6",
"Jaylen Warren","PIT","RB","RB38","114","103.0","RB36","-11.0",
"Dalton Kincaid","BUF","TE","TE11","115","120.5","TE11","5.5",
"Romeo Doubs","GB","WR","WR56","116","109.4","WR51","-6.6",
"Raheem Mostert","MIA","RB","RB39","117","122.6","RB44","5.6",
"Daniel Jones","NYG","QB","QB12","118","123.6","QB13","5.6",
"Dak Prescott","DAL","QB","QB13","119","120.1","QB11","1.1",
"Jerick McKinnon","KC","RB","RB40","120","115.5","RB40","-4.5",
"Odell Beckham","BAL","WR","WR57","121","116.3","WR53","-4.7",
"Darnell Mooney","CHI","WR","WR58","122","142.0","WR62","20.0",
"De'Von Achane","MIA","RB","RB41","123","120.2","RB42","-2.8",
"Marvin Mims","DEN","WR","WR59","124","123.1","WR56","-0.9",
"Van Jefferson","LAR","WR","WR60","125","161.7","WR67","36.7",
"Tyler Higbee","LAR","TE","TE12","126","143.6","TE14","17.6",
"Jayden Reed","GB","WR","WR61","127","156.0","WR66","29.0",
"Dalton Schultz","HOU","TE","TE13","128","140.3","TE12","12.3",
"Geno Smith","SEA","QB","QB14","129","132.7","QB15","3.7",
"Adam Thielen","CAR","WR","WR62","130","130.0","WR58","0.0",
"Tank Bigsby","JAX","RB","RB42","131","117.6","RB41","-13.4",
"Elijah Mitchell","SF","RB","RB43","132","126.7","RB45","-5.3",
